Time (s),ESC signal (µs),Servo 1 (µs),Servo 2 (µs),Servo 3 (µs),AccX (g),AccY (g),AccZ (g),Torque (N·m),Thrust (kgf),Voltage (V),Current (A),Motor Electrical Speed (RPM),Motor Optical Speed (RPM),Electrical Power (W),Mechanical Power (W),Motor Efficiency (%),Propeller Mech. Efficiency (kgf/W),Overall Efficiency (kgf/W),Vibration (g),App message,
107.1633500000001,1751,,,,-0.609375,0.08203125,0.46484375,,,11.443293669175963,10.463975408513157,12875,0,119.74234354665157,,85.03751570681973,,,1.966796875,,
107.1852749999999,1751,,,,-1.13671875,0.169921875,0.54296875,,,11.442238743606573,10.505919057584505,12889,0,120.21123407788808,,84.79427387478701,,,1.96484375,,
107.2127799999998,1751,,,,-0.65625,-1.0234375,-0.806640625,0.07559851457437067,,11.441893010039125,10.490258237000635,12903,0,120.02841239544293,102.14629360909491,85.10176180000283,0.003953422465181221,0.0033644321692663224,1.970703125,,
107.23714500000001,1751,,,,-1.26953125,0.5234375,0.3125,,,11.441674638908855,10.484393820652576,12907,0,119.9590228820933,,85.18215821295207,,,1.982421875,,
107.2598500000001,1751,,,,-1.224609375,-0.07421875,0.34375,,,11.441315836631631,10.485570823600774,12889,0,119.9687275201861,,85.05377624483391,,,1.9765625,,
107.28562999999988,1751,,,,-0.625,-0.125,0.0546875,,0.4049233812924765,11.440971300522426,10.476041706266216,12893,0,119.85609250446775,,85.162151489606,,,1.96875,,
107.31655000000028,1751,,,,-1.3984375,0.525390625,0.763671875,,,11.439472077697559,10.523109172087846,12891,0,120.378813544662,,84.77786724251811,,,1.96875,,
107.33966999999993,1751,,,,-1.14453125,-0.28515625,0.099609375,,,11.439665224930481,10.515913628942878,12906,0,120.29853144939034,,84.93475799065706,,,1.9765625,,
107.36225499999989,1751,,,,-0.59375,0.158203125,0,0.07576416206075125,,11.439634450043929,10.512188138763598,12890,0,120.25558957754323,102.27003391208167,85.04389215616118,0.003959355109245162,0.003367189689185913,1.97265625,,
107.38344499999984,1751,,,,-1.4375,0.0859375,0.31640625,,,11.439239692427385,10.504667914076302,12887,0,120.16541415847003,,85.08885640964954,,,1.96484375,,
107.40554000000003,1751,,,,-0.703125,-0.703125,-0.484375,,,11.439273675747092,10.500220628885193,12890,0,120.11489742954296,,85.14194948662353,,,1.962890625,,
107.4383999999999,1751,,,,-1.236328125,0.677734375,0.5078125,,0.4051193089270506,11.439095046691172,10.491157702091341,12881,0,120.00935010404899,,85.15552189019208,,,1.97265625,,
107.46040999999968,1751,,,,-1.09375,-0.44140625,0.275390625,,,11.439052741828856,10.494119027978119,12885,0,120.04278104007147,,85.15868927723805,,,1.978515625,,
107.49186500000022,1751,,,,-0.8125,0.6015625,0.466796875,,,11.437613170200011,10.534502041628999,12888,0,120.48955929283474,,84.8626107472358,,,1.96875,,
107.51414499999956,1751,,,,-1.134765625,0.224609375,0.349609375,0.07582537284166359,,11.43772515593607,10.528680022495745,12901,0,120.42414835210113,102.43793302229167,85.06427857208455,0.003954778244489685,0.003364103582800901,1.966796875,,
107.53566500000004,1752,,,,-0.75,-0.67578125,0.302734375,,,11.43795429792639,10.51716802272791,12888,0,120.2948871875747,,85.06951930721054,,,1.974609375,,
107.55682499999972,1753,,,,-1.5,0.7421875,-0.470703125,,,11.437960211188656,10.51233846029876,12876,0,120.23970903544544,,85.0306411983863,,,1.974609375,,
107.58230000000027,1753,,,,-0.859375,-0.93359375,0.22265625,,0.40424825792540053,11.436421042994455,10.550418191413703,12886,0,120.65902461667518,,84.80367670587155,,,1.96484375,,
107.60482500000019,1754,,,,-0.6875,0.431640625,0.115234375,,,11.435891387026942,10.561029233870665,12916,0,120.77478325376127,,84.91894519613756,,,1.9609375,,
107.63161999999964,1755,,,,-1.140625,0.365234375,1.154296875,,,11.435771112551851,10.544650507888774,12918,0,120.58620967006965,,85.06243491460083,,,1.9609375,,
